breed,filename,source,full_path
Siamese,Siamese_1654.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Siamese\Siamese_1654.jpg
Bengal,Bengal_1612.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bengal\Bengal_1612.jpg
Bengal,Bengal_202.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bengal\Bengal_202.jpg
Maine Coon,Maine Coon_735.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Maine Coon\Maine Coon_735.jpg
British Shorthair,British Shorthair_74.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\British Shorthair\British Shorthair_74.jpg
Persian,Persian_2737.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_2737.jpg
Persian,Persian_1102.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_1102.jpg
Siamese,Siamese_2008.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Siamese\Siamese_2008.jpg
Ragdoll,Ragdoll_1444.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_1444.jpg
British Shorthair,British Shorthair_511.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\British Shorthair\British Shorthair_511.jpg
Maine Coon,Maine Coon_1353.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Maine Coon\Maine Coon_1353.jpg
Bengal,Bengal_1734.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bengal\Bengal_1734.jpg
Bombay,Bombay_390.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bombay\Bombay_390.jpg
Persian,Persian_239.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_239.jpg
Ragdoll,Ragdoll_2638.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_2638.jpg
Ragdoll,Ragdoll_1209.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_1209.jpg
Russian Blue,Russian Blue_1827.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Russian Blue\Russian Blue_1827.jpg
Siamese,Siamese_2110.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Siamese\Siamese_2110.jpg
Persian,Persian_2402.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_2402.jpg
Russian Blue,Russian Blue_1219.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Russian Blue\Russian Blue_1219.jpg
Ragdoll,Ragdoll_1400.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_1400.jpg
Ragdoll,Ragdoll_1419.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_1419.jpg
Ragdoll,Ragdoll_2013.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_2013.jpg
Bombay,Bombay_1423.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bombay\Bombay_1423.jpg
Maine Coon,Maine Coon_74.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Maine Coon\Maine Coon_74.jpg
Siamese,Siamese_85.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Siamese\Siamese_85.jpg
Siamese,Siamese_566.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Siamese\Siamese_566.jpg
Ragdoll,Ragdoll_2277.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_2277.jpg
Persian,Persian_3596.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_3596.jpg
Bengal,Bengal_352.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bengal\Bengal_352.jpg
Russian Blue,Russian Blue_1444.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Russian Blue\Russian Blue_1444.jpg
Persian,Persian_340.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_340.jpg
Russian Blue,Russian Blue_1473.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Russian Blue\Russian Blue_1473.jpg
Bengal,Bengal_454.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bengal\Bengal_454.jpg
Persian,Persian_3682.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_3682.jpg
Bengal,Bengal_79.jpg,oxfordiit,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\OxfordIIT\images\Bengal\Bengal_79.jpg
Russian Blue,Russian Blue_1662.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Russian Blue\Russian Blue_1662.jpg
Siamese,Siamese_2637.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Siamese\Siamese_2637.jpg
Bombay,Bombay_148.jpg,oxfordiit,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\OxfordIIT\images\Bombay\Bombay_148.jpg
Siamese,Siamese_2875.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Siamese\Siamese_2875.jpg
Persian,Persian_1831.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_1831.jpg
Russian Blue,Russian_Blue_79.jpg,oxfordiit,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\OxfordIIT\images\Russian Blue\Russian_Blue_79.jpg
Siamese,Siamese_971.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Siamese\Siamese_971.jpg
Bengal,Bengal_1407.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bengal\Bengal_1407.jpg
Persian,Persian_3802.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_3802.jpg
Bombay,Bombay_1642.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bombay\Bombay_1642.jpg
Siamese,Siamese_937.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Siamese\Siamese_937.jpg
Siamese,Siamese_2635.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Siamese\Siamese_2635.jpg
Maine Coon,Maine Coon_522.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Maine Coon\Maine Coon_522.jpg
Persian,Persian_3905.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_3905.jpg
Persian,Persian_2219.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_2219.jpg
Maine Coon,Maine Coon_563.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Maine Coon\Maine Coon_563.jpg
Bengal,Bengal_1143.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bengal\Bengal_1143.jpg
Ragdoll,Ragdoll_1895.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_1895.jpg
Persian,Persian_630.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_630.jpg
Persian,Persian_228.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_228.jpg
Bengal,Bengal_583.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bengal\Bengal_583.jpg
Persian,Persian_2907.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_2907.jpg
Bombay,Bombay_1010.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bombay\Bombay_1010.jpg
Russian Blue,Russian Blue_1749.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Russian Blue\Russian Blue_1749.jpg
Bombay,Bombay_67.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bombay\Bombay_67.jpg
Bengal,Bengal_1056.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bengal\Bengal_1056.jpg
Ragdoll,Ragdoll_927.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_927.jpg
Persian,Persian_2028.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_2028.jpg
Ragdoll,Ragdoll_2010.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_2010.jpg
Siamese,Siamese_256.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Siamese\Siamese_256.jpg
Bombay,Bombay_155.jpg,oxfordiit,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\OxfordIIT\images\Bombay\Bombay_155.jpg
Siamese,Siamese_334.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Siamese\Siamese_334.jpg
Siamese,Siamese_1657.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Siamese\Siamese_1657.jpg
Russian Blue,Russian Blue_564.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Russian Blue\Russian Blue_564.jpg
Ragdoll,Ragdoll_48.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_48.jpg
Siamese,Siamese_1069.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Siamese\Siamese_1069.jpg
Siamese,Siamese_687.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Siamese\Siamese_687.jpg
Siamese,Siamese_70.jpg,oxfordiit,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\OxfordIIT\images\Siamese\Siamese_70.jpg
Russian Blue,Russian Blue_716.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Russian Blue\Russian Blue_716.jpg
Bombay,Bombay_363.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bombay\Bombay_363.jpg
Bengal,Bengal_2472.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bengal\Bengal_2472.jpg
Siamese,Siamese_2368.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Siamese\Siamese_2368.jpg
Bengal,Bengal_1090.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bengal\Bengal_1090.jpg
Persian,Persian_2308.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_2308.jpg
Bombay,Bombay_1077.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bombay\Bombay_1077.jpg
Maine Coon,Maine Coon_236.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Maine Coon\Maine Coon_236.jpg
Ragdoll,Ragdoll_1376.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_1376.jpg
Siamese,Siamese_1755.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Siamese\Siamese_1755.jpg
Persian,Persian_3808.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_3808.jpg
Bengal,Bengal_674.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bengal\Bengal_674.jpg
Siamese,Siamese_753.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Siamese\Siamese_753.jpg
Bengal,Bengal_1155.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bengal\Bengal_1155.jpg
Ragdoll,Ragdoll_2273.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_2273.jpg
Russian Blue,Russian Blue_723.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Russian Blue\Russian Blue_723.jpg
Bengal,Bengal_998.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bengal\Bengal_998.jpg
Persian,Persian_888.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_888.jpg
Ragdoll,Ragdoll_825.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_825.jpg
Ragdoll,Ragdoll_1599.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_1599.jpg
British Shorthair,British Shorthair_181.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\British Shorthair\British Shorthair_181.jpg
Ragdoll,Ragdoll_1945.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_1945.jpg
Ragdoll,Ragdoll_568.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_568.jpg
Persian,Persian_2538.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_2538.jpg
Bombay,Bombay_501.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bombay\Bombay_501.jpg
Persian,Persian_3735.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_3735.jpg
Siamese,Siamese_2508.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Siamese\Siamese_2508.jpg
Ragdoll,Ragdoll_1645.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_1645.jpg
Bombay,Bombay_927.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bombay\Bombay_927.jpg
British Shorthair,British_Shorthair_71.jpg,oxfordiit,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\OxfordIIT\images\British Shorthair\British_Shorthair_71.jpg
Siamese,Siamese_1183.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Siamese\Siamese_1183.jpg
Maine Coon,Maine Coon_1242.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Maine Coon\Maine Coon_1242.jpg
Persian,Persian_869.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_869.jpg
Maine Coon,Maine Coon_934.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Maine Coon\Maine Coon_934.jpg
Ragdoll,Ragdoll_544.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_544.jpg
Persian,Persian_1130.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_1130.jpg
Maine Coon,Maine Coon_1072.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Maine Coon\Maine Coon_1072.jpg
Ragdoll,Ragdoll_1838.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_1838.jpg
British Shorthair,British Shorthair_88.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\British Shorthair\British Shorthair_88.jpg
Russian Blue,Russian_Blue_108.jpg,oxfordiit,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\OxfordIIT\images\Russian Blue\Russian_Blue_108.jpg
Persian,Persian_2268.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_2268.jpg
Russian Blue,Russian Blue_1464.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Russian Blue\Russian Blue_1464.jpg
Bengal,Bengal_654.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bengal\Bengal_654.jpg
Bengal,Bengal_336.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bengal\Bengal_336.jpg
Ragdoll,Ragdoll_2432.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_2432.jpg
Persian,Persian_136.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_136.jpg
Persian,Persian_3997.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_3997.jpg
Ragdoll,Ragdoll_1027.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_1027.jpg
Ragdoll,Ragdoll_1487.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_1487.jpg
Persian,Persian_848.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Persian\Persian_848.jpg
Ragdoll,Ragdoll_1024.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_1024.jpg
Russian Blue,Russian Blue_641.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Russian Blue\Russian Blue_641.jpg
Maine Coon,Maine Coon_285.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Maine Coon\Maine Coon_285.jpg
Ragdoll,Ragdoll_741.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Ragdoll\Ragdoll_741.jpg
Russian Blue,Russian Blue_804.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Russian Blue\Russian Blue_804.jpg
Ragdoll,Ragdoll_103.jpg,oxfordiit,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\OxfordIIT\images\Ragdoll\Ragdoll_103.jpg
Russian Blue,Russian Blue_820.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Russian Blue\Russian Blue_820.jpg
Siamese,Siamese_1323.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Siamese\Siamese_1323.jpg
Bengal,Bengal_440.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bengal\Bengal_440.jpg
Bombay,Bombay_1522.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Bombay\Bombay_1522.jpg
Siamese,Siamese_218.jpg,oxfordiit,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\OxfordIIT\images\Siamese\Siamese_218.jpg
Russian Blue,Russian Blue_1329.jpg,kaggle,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\Kaggle\images\Russian Blue\Russian Blue_1329.jpg
Russian Blue,Russian_Blue_71.jpg,oxfordiit,C:\Users\jbats\Desktop\Projects\Classes\MultiLayerPurrceptron\Datacleaning\OxfordIIT\images\Russian Blue\Russian_Blue_71.jpg
